LIMS	// User ID
11-12-2017	// Evaluation date
P030__5__[321-19-9-43]	17-11-2017	19:09:38:339	// Source file name and timestamp
2000.000	// Sampling rate
4.872	// Data capture period

Sample #	Left_FP	Right_FP	Left_X	Left_Y	Right_X	Right_Y	Global_X	Global_Y	JumpHeight	
45	297.586782	248.376567	-169.891704	281.948465	178.757573	274.405716	-11.279756	278.517022	0.000000	
46	297.574704	248.209689	-169.887093	281.999469	178.730028	274.361663	-11.344364	278.525977	0.000000	
47	297.561540	248.030949	-169.887422	282.043943	178.701461	274.320162	-11.415975	278.532647	0.000000	
48	297.551011	247.841390	-169.894211	282.084169	178.672478	274.281248	-11.495868	278.538306	0.000000	
49	297.547858	247.643253	-169.907654	282.122915	178.643745	274.245364	-11.584452	278.544679	0.000000	
50	297.556069	247.439080	-169.926840	282.163171	178.616392	274.212721	-11.680997	278.553502	0.000000	
51	297.578214	247.230846	-169.950882	282.206560	178.592437	274.183745	-11.784167	278.565858	0.000000	
52	297.615280	247.019908	-169.979424	282.251746	178.574994	274.159896	-11.892172	278.581678	0.000000	
53	297.666419	246.808877	-170.011930	282.295951	178.567924	274.144521	-12.001818	278.600935	0.000000	
54	297.729167	246.603558	-170.047089	282.337859	178.574943	274.143254	-12.107965	278.625389	0.000000	
55	297.799584	246.411975	-170.082662	282.378236	178.598509	274.162217	-12.204325	278.658128	0.000000	
56	297.872588	246.241538	-170.115712	282.418592	178.639249	274.205164	-12.284930	278.701564	0.000000	
57	297.943108	246.097017	-170.143337	282.459702	178.696172	274.272494	-12.345486	278.756212	0.000000	
58	298.007217	245.980322	-170.163395	282.501025	178.767340	274.362266	-12.383872	278.820841	0.000000	
59	298.063055	245.891532	-170.175104	282.541210	178.850632	274.471524	-12.400034	278.893355	0.000000	
60	298.110979	245.829246	-170.179155	282.578717	178.943506	274.595863	-12.396082	278.970933	0.000000	
61	298.151818	245.790573	-170.176673	282.612060	179.042251	274.728045	-12.375551	279.049520	0.000000	
62	298.185156	245.771866	-170.167941	282.640039	179.142641	274.859053	-12.341660	279.124417	0.000000	
63	298.210435	245.768838	-170.152401	282.661750	179.241320	274.980620	-12.296959	279.191429	0.000000	
64	298.228930	245.776087	-170.129394	282.676435	179.336238	275.086633	-12.244278	279.247437	0.000000	
65	298.243794	245.787943	-170.098629	282.683898	179.426144	275.173994	-12.186932	279.291001	0.000000	
